hour,tag,percent,scrobbles
0,indie,0.23713803767219566,215
0,san diego indie,0.161653078436885,215
0,Neo-Psychedelia,0.1335394995782963,215
0,ambient,0.11104863649142535,215
0,bedroom soul,0.1066910317683441,215
0,cloud rap,0.09839752600506045,215
0,jazz,0.07724205791397244,215
0,electronic,0.07429013213382064,215
1,ambient,0.24060865430337613,173
1,Hip-Hop,0.1401806942463148,173
1,vaporwave,0.1312410841654779,173
1,jazz,0.11678554446029481,173
1,cloud rap,0.10461245839277222,173
1,indie,0.1002377555872563,173
1,electronic,0.0955777460770328,173
1,indie pop,0.07075606276747504,173
2,ambient,0.29316810696233486,177
2,electronic,0.18449372248491766,177
2,cloud rap,0.16305233980107614,177
2,vaporwave,0.1173976846567748,177
2,Hip-Hop,0.09864666557965106,177
2,jazz,0.07647154736670471,177
2,indie pop,0.06676993314854068,177
3,ambient,0.2702912347507228,378
3,indie,0.11265072984979903,378
3,electronic,0.10073337564346661,378
3,cloud rap,0.0951977998730696,378
3,vaporwave,0.09216557365489035,378
3,Neo-Psychedelia,0.08134123122487837,378
3,jazz,0.06702630279952049,378
3,rap,0.06209012058387984,378
3,indie pop,0.05986883858684155,378
3,soul,0.05863479303293139,378
4,cloud rap,0.17259047516315193,305
4,ambient,0.1666576775794186,305
4,indie,0.1663340704384877,305
4,electronic,0.12976646351329485,305
4,vaporwave,0.12744727900329,305
4,indie pop,0.12189202308397605,305
4,Neo-Psychedelia,0.11531201121838089,305
5,indie,0.20147713696100794,159
5,Neo-Psychedelia,0.13782991202346043,159
5,indie pop,0.13620071684587814,159
5,jazz,0.10177039209297274,159
5,vaporwave,0.09688280656022592,159
5,Psychedelic Rock,0.08689040947105464,159
5,ambient,0.08689040947105464,159
5,cloud rap,0.0760291082871728,159
5,san diego indie,0.0760291082871728,159
6,ambient,0.2827451829400303,234
6,Neo-Psychedelia,0.1794039113805297,234
6,indie pop,0.17702244353034569,234
6,electronic,0.12650645882947248,234
6,indie,0.09778451324240456,234
6,vaporwave,0.07158836689038033,234
6,folk,0.06494912318683697,234
7,ambient,0.4141772569730979,441
7,Neo-Psychedelia,0.14598118501402874,441
7,electronic,0.13558342960884637,441
7,indie,0.12997194256477967,441
7,indie pop,0.1033586400396105,441
7,vaporwave,0.0709275457996369,441
8,ambient,0.30178800200523587,587
8,electronic,0.12964407062886427,587
8,indie,0.11733415028129003,587
8,jazz,0.10396591098980672,587
8,Soundtrack,0.1026569375591823,587
8,rap,0.08499972149501477,587
8,Neo-Psychedelia,0.0826881301175291,587
8,Hip-Hop,0.07692307692307691,587
9,ambient,0.3324856667283151,811
9,rap,0.11968281856852228,811
9,electronic,0.11688551877196227,811
9,indie,0.11311725540965416,811
9,jazz,0.08248566672831514,811
9,Hip-Hop,0.08169964860366193,811
9,Neo-Psychedelia,0.07899482152764933,811
9,vaporwave,0.07464860366191972,811
10,ambient,0.35239339049457724,623
10,electronic,0.14769178354437568,623
